2025-07-16 07:08:46 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-16 07:08:57 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-16 07:09:11 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-16 07:10:48 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-16 07:10:48 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-16 07:10:48 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-16 07:10:48 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-16 07:10:48 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-16 07:10:48 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-16 07:10:48 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-16 07:10:48 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-16 07:10:48 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-16 07:10:48 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-16 07:10:48 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-16 07:10:48 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-16 07:10:48 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-16 07:10:48 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-16 07:10:48 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-16 07:10:48 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-16 07:10:48 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-16 07:10:48 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-16 07:10:48 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-16 07:10:48 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-16 07:10:48 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-16 07:10:48 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-16 07:10:48 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-16 07:10:48 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-16 07:10:48 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-16 07:10:48 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-16 07:10:48 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-16 07:10:48 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-16 07:10:48 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-16 07:10:48 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-16 07:10:48 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
