2025-07-18 20:32:40 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-18 20:33:05 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-18 20:34:28 - tatum_subscription - ERROR - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-19 05:49:25 - tatum_subscription - ERROR - Blockchain DOT is not supported by Tatum API
