2025-07-22 05:45:27 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-22 17:18:14 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-22 17:18:14 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-22 17:18:14 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-22 17:33:56 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-22 17:33:56 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-22 17:33:56 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-22 20:28:17 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-22 20:28:17 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-22 20:28:17 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-22 20:31:21 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-22 20:31:21 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-22 20:31:21 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-22 20:32:01 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-22 20:32:02 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-22 20:32:02 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-22 20:34:11 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-22 20:34:11 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-22 20:34:11 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-22 20:34:24 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-22 20:34:24 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-22 20:34:24 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-22 20:46:42 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-22 20:46:42 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-22 20:46:43 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-22 21:52:24 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-22 21:52:24 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-22 21:52:24 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-22 22:14:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-22 22:14:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-22 22:14:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-22 22:14:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-22 22:14:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-22 22:14:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-22 22:14:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-22 22:14:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-22 22:14:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-22 22:14:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-22 22:14:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-22 22:14:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-22 22:14:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-22 22:14:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-22 22:14:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-22 22:14:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-22 22:14:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-22 22:14:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-22 22:14:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-22 22:14:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-22 22:14:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-22 22:14:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-22 22:14:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-22 22:14:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-22 22:14:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-22 22:14:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-22 22:14:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-22 22:14:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-22 22:14:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-22 22:14:33 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
