2025-07-24 01:06:30 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-07-24 01:19:01 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-24 01:19:01 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-24 01:19:01 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-24 01:19:01 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-24 01:19:01 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-24 01:19:01 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-24 01:19:01 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-24 01:19:01 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-24 01:19:01 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-24 01:19:01 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-24 01:19:01 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-24 01:19:01 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-24 01:19:01 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-24 01:19:01 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-24 01:19:01 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-24 01:19:01 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-24 01:19:01 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-24 01:19:01 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-24 01:19:01 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-24 01:19:01 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-24 01:19:01 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-24 01:19:01 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-24 01:19:01 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-24 01:19:01 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-24 01:19:01 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-24 01:19:01 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-24 01:19:01 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-07-24 01:19:01 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
