2025-08-02 07:31:14 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-02 07:31:14 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-02 07:31:14 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-02 08:08:29 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-02 08:08:29 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-02 08:08:30 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-02 09:20:20 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-02 09:20:20 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-02 09:20:20 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-02 09:24:46 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-02 09:24:47 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-02 09:24:47 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-05 11:18:00 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 11:18:00 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 11:18:00 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 11:18:00 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 11:18:00 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 11:18:00 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 11:18:00 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 11:18:00 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 11:18:00 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 11:18:00 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 11:18:00 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 11:18:00 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 11:18:00 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 11:18:00 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 11:18:00 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 11:18:00 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 11:18:00 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 11:18:00 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 11:18:00 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 11:18:00 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 11:18:00 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 11:18:00 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 11:18:00 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 11:18:00 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 11:18:00 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 11:18:00 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 11:18:00 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 11:18:00 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 11:18:00 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 11:18:00 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 11:18:00 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
