2025-08-05 07:25:11 - price_service - DEBUG - Logger initialized for price_service at level DEBUG
2025-08-05 07:25:11 - price_service - INFO - Initializing price service module
2025-08-05 07:25:12 - price_service - INFO - Initializing price service module
2025-08-05 07:25:38 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-08-05 07:25:38 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-08-05 07:25:38 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-08-05 07:26:12 - price_service - DEBUG - Logger initialized for price_service at level DEBUG
2025-08-05 07:26:12 - price_service - INFO - Initializing price service module
2025-08-05 07:26:13 - price_service - INFO - Initializing price service module
2025-08-05 07:26:48 - price_service - DEBUG - Logger initialized for price_service at level DEBUG
2025-08-05 07:26:48 - price_service - INFO - Initializing price service module
2025-08-05 07:26:49 - price_service - INFO - Initializing price service module
2025-08-05 07:55:28 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-08-05 07:55:28 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-08-05 07:55:28 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-08-05 08:00:26 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-08-05 08:00:26 - price_service - WARNING - No price record found for 10 in IRR, using default values
2025-08-05 08:00:26 - price_service - WARNING - No price record found for 11 in IRR, using default values
2025-08-05 08:00:26 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-08-05 08:00:26 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-08-05 08:00:27 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-08-05 08:00:27 - price_service - WARNING - No price record found for 10 in IRR, using default values
2025-08-05 08:00:27 - price_service - WARNING - No price record found for 11 in IRR, using default values
2025-08-05 08:00:27 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-08-05 08:00:27 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-08-05 08:01:55 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-08-05 08:01:55 - price_service - WARNING - No price record found for 10 in IRR, using default values
2025-08-05 08:01:55 - price_service - WARNING - No price record found for 11 in IRR, using default values
2025-08-05 08:01:55 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-08-05 08:01:55 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-08-05 08:01:56 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-08-05 08:01:56 - price_service - WARNING - No price record found for 10 in IRR, using default values
2025-08-05 08:01:56 - price_service - WARNING - No price record found for 11 in IRR, using default values
2025-08-05 08:01:56 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-08-05 08:01:56 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-08-05 09:21:05 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-08-05 09:21:05 - price_service - WARNING - No price record found for 10 in IRR, using default values
2025-08-05 09:21:05 - price_service - WARNING - No price record found for 11 in IRR, using default values
2025-08-05 09:21:05 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-08-05 09:21:05 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-08-05 10:40:42 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 10:40:42 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 10:40:42 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 10:40:42 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 10:40:42 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 10:40:42 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 10:40:48 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 10:40:48 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 10:40:48 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 10:40:48 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 10:40:48 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 10:40:48 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 10:40:48 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 10:40:48 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 10:40:48 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 10:40:48 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 10:40:48 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 10:40:48 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 10:40:48 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 10:40:48 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 10:40:48 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 10:40:48 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 10:40:48 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 10:40:48 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 10:42:53 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 10:42:53 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 10:42:53 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 10:42:53 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 10:42:53 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 10:42:53 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 10:42:53 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 10:42:53 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 10:42:53 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 10:42:53 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 10:42:53 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 10:42:53 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 10:42:55 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 10:42:55 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 10:42:55 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 10:42:55 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 10:42:55 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 10:42:55 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 10:52:55 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 10:52:55 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 10:52:55 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 10:52:55 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 10:52:55 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 10:52:55 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 10:54:08 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 10:54:08 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 10:54:08 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 10:54:08 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 10:54:08 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 10:54:08 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 10:54:08 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 10:54:08 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 10:54:08 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 10:54:08 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 10:54:08 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 10:54:08 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 10:54:15 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 10:54:15 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 10:54:15 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 10:54:15 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 10:54:15 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 10:54:15 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 10:54:33 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 10:54:33 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 10:54:33 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 10:54:33 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 10:54:33 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 10:54:33 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 10:54:35 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 10:54:35 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 10:54:35 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 10:54:35 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 10:54:35 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 10:54:35 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 10:54:35 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 10:54:35 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 10:54:35 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 10:54:35 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 10:54:35 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 10:54:35 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 11:18:45 - price_service - DEBUG - Logger initialized for price_service at level DEBUG
2025-08-05 11:18:45 - price_service - INFO - Initializing price service module
2025-08-05 11:18:46 - price_service - INFO - Initializing price service module
2025-08-05 11:18:59 - price_service - DEBUG - Logger initialized for price_service at level DEBUG
