2025-08-05 07:25:10 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-05 07:26:12 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-05 07:26:48 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-05 11:18:45 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-05 11:18:59 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-05 12:18:32 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 12:18:32 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 12:18:32 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 12:18:32 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 12:18:32 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 12:18:32 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 12:18:32 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 12:18:32 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 12:18:32 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 12:18:32 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 12:18:32 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 12:18:32 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 12:18:32 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 12:18:32 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 12:18:32 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 12:18:32 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 12:18:32 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 12:18:32 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 12:18:32 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 12:18:32 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-05 12:18:32 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
