2025-08-08 05:22:04 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-08 05:27:37 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-08 05:32:18 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-08 05:46:29 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-08 05:46:29 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-08 05:46:29 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-08 05:46:49 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-08 05:55:41 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-08 06:35:45 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:02 - tatum_subscription - ERROR - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-08 08:23:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
