2025-08-08 05:22:04 - webhook_routes - DEBUG - Logger initialized for webhook_routes at level DEBUG
2025-08-08 05:27:37 - webhook_routes - DEBUG - Logger initialized for webhook_routes at level DEBUG
2025-08-08 05:32:18 - webhook_routes - DEBUG - Logger initialized for webhook_routes at level DEBUG
2025-08-08 05:46:29 - webhook_routes - DEBUG - Logger initialized for webhook_routes at level DEBUG
2025-08-08 05:46:29 - webhook_routes - DEBUG - Logger initialized for webhook_routes at level DEBUG
2025-08-08 05:46:29 - webhook_routes - DEBUG - Logger initialized for webhook_routes at level DEBUG
2025-08-08 05:46:49 - webhook_routes - DEBUG - Logger initialized for webhook_routes at level DEBUG
2025-08-08 05:55:41 - webhook_routes - DEBUG - Logger initialized for webhook_routes at level DEBUG
2025-08-08 06:35:45 - webhook_routes - DEBUG - Logger initialized for webhook_routes at level DEBUG
2025-08-08 10:15:47 - webhook_routes - WARNING - [69a17000] بلاکچین ناشناخته: bsc-mainnet/، استفاده از پردازشگر پیش‌فرض
2025-08-08 10:15:47 - webhook_routes - WARNING - [46222271] بلاکچین ناشناخته: bsc-mainnet/، استفاده از پردازشگر پیش‌فرض
2025-08-08 15:02:07 - webhook_routes - WARNING - [714c8ace] بلاکچین ناشناخته: tron-mainnet/، استفاده از پردازشگر پیش‌فرض
2025-08-08 17:23:12 - webhook_routes - WARNING - [cce52255] بلاکچین ناشناخته: bsc-mainnet/، استفاده از پردازشگر پیش‌فرض
2025-08-08 17:23:12 - webhook_routes - WARNING - [639e7f59] بلاکچین ناشناخته: bsc-mainnet/، استفاده از پردازشگر پیش‌فرض
2025-08-08 17:24:51 - webhook_routes - WARNING - [61bf8f20] بلاکچین ناشناخته: bsc-mainnet/، استفاده از پردازشگر پیش‌فرض
2025-08-08 17:24:51 - webhook_routes - WARNING - [137c6053] بلاکچین ناشناخته: bsc-mainnet/، استفاده از پردازشگر پیش‌فرض
2025-08-08 17:27:22 - webhook_routes - WARNING - [f4ad17cb] بلاکچین ناشناخته: bsc-mainnet/، استفاده از پردازشگر پیش‌فرض
2025-08-08 17:27:36 - webhook_routes - WARNING - [08e7d179] بلاکچین ناشناخته: bsc-mainnet/، استفاده از پردازشگر پیش‌فرض
2025-08-08 20:34:16 - webhook_routes - WARNING - [0da708cb] بلاکچین ناشناخته: bsc-mainnet/، استفاده از پردازشگر پیش‌فرض
