2025-08-11 07:34:48 - price_service - DEBUG - Logger initialized for price_service at level DEBUG
2025-08-11 07:34:48 - price_service - INFO - Initializing price service module
2025-08-11 07:34:48 - price_service - DEBUG - Logger initialized for price_service at level DEBUG
2025-08-11 07:34:48 - price_service - INFO - Initializing price service module
2025-08-11 07:34:48 - price_service - DEBUG - Logger initialized for price_service at level DEBUG
2025-08-11 07:34:48 - price_service - INFO - Initializing price service module
2025-08-11 07:34:49 - price_service - INFO - Initializing price service module
2025-08-11 07:34:49 - price_service - INFO - Initializing price service module
2025-08-11 07:34:50 - price_service - INFO - Initializing price service module
2025-08-11 07:35:14 - price_service - DEBUG - Logger initialized for price_service at level DEBUG
2025-08-11 07:35:14 - price_service - INFO - Initializing price service module
2025-08-11 07:35:14 - price_service - DEBUG - Logger initialized for price_service at level DEBUG
2025-08-11 07:35:14 - price_service - INFO - Initializing price service module
2025-08-11 07:35:14 - price_service - DEBUG - Logger initialized for price_service at level DEBUG
2025-08-11 07:35:14 - price_service - INFO - Initializing price service module
2025-08-11 07:35:15 - price_service - INFO - Initializing price service module
2025-08-11 07:35:15 - price_service - INFO - Initializing price service module
2025-08-11 07:35:16 - price_service - INFO - Initializing price service module
2025-08-11 07:35:17 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 07:35:17 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 07:35:17 - price_service - WARNING - No price record found for 18 in USD, using default values
2025-08-11 07:35:17 - price_service - WARNING - No price record found for 27 in USD, using default values
2025-08-11 07:36:42 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 07:36:42 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 07:37:55 - price_service - WARNING - No price record found for 18 in USD, using default values
2025-08-11 07:37:55 - price_service - WARNING - No price record found for 18 in USD, using default values
2025-08-11 07:37:55 - price_service - WARNING - No price record found for 18 in USD, using default values
2025-08-11 07:37:59 - price_service - WARNING - No price record found for 18 in USD, using default values
2025-08-11 07:38:00 - price_service - WARNING - No price record found for 18 in USD, using default values
2025-08-11 07:38:00 - price_service - WARNING - No price record found for 18 in USD, using default values
2025-08-11 07:38:01 - price_service - WARNING - No price record found for 18 in USD, using default values
2025-08-11 07:38:04 - price_service - WARNING - No price record found for 18 in USD, using default values
2025-08-11 07:51:47 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 07:51:47 - price_service - WARNING - No price record found for 1 in EUR, using default values
2025-08-11 07:51:47 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-08-11 07:51:47 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 07:51:47 - price_service - WARNING - No price record found for 16 in EUR, using default values
2025-08-11 07:51:47 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-08-11 07:51:47 - price_service - WARNING - No price record found for 18 in USD, using default values
2025-08-11 07:51:47 - price_service - WARNING - No price record found for 18 in EUR, using default values
2025-08-11 07:51:47 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-08-11 07:51:47 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 07:51:47 - price_service - WARNING - No price record found for 1 in EUR, using default values
2025-08-11 07:51:47 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-08-11 07:51:47 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 07:51:47 - price_service - WARNING - No price record found for 16 in EUR, using default values
2025-08-11 07:51:47 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-08-11 07:51:47 - price_service - WARNING - No price record found for 18 in USD, using default values
2025-08-11 07:51:47 - price_service - WARNING - No price record found for 18 in EUR, using default values
2025-08-11 07:51:47 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-08-11 07:51:48 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 07:51:48 - price_service - WARNING - No price record found for 1 in EUR, using default values
2025-08-11 07:51:48 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-08-11 07:51:48 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 07:51:48 - price_service - WARNING - No price record found for 16 in EUR, using default values
2025-08-11 07:51:48 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-08-11 07:51:48 - price_service - WARNING - No price record found for 18 in USD, using default values
2025-08-11 07:51:48 - price_service - WARNING - No price record found for 18 in EUR, using default values
2025-08-11 07:51:48 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-08-11 07:54:09 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 07:54:09 - price_service - WARNING - No price record found for 1 in EUR, using default values
2025-08-11 07:54:09 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-08-11 07:54:09 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 07:54:09 - price_service - WARNING - No price record found for 16 in EUR, using default values
2025-08-11 07:54:09 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-08-11 07:54:09 - price_service - WARNING - No price record found for 18 in USD, using default values
2025-08-11 07:54:09 - price_service - WARNING - No price record found for 18 in EUR, using default values
2025-08-11 07:54:09 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-08-11 07:54:09 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 07:54:09 - price_service - WARNING - No price record found for 1 in EUR, using default values
2025-08-11 07:54:09 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-08-11 07:54:09 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 07:54:09 - price_service - WARNING - No price record found for 16 in EUR, using default values
2025-08-11 07:54:09 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-08-11 07:54:09 - price_service - WARNING - No price record found for 18 in USD, using default values
2025-08-11 07:54:09 - price_service - WARNING - No price record found for 18 in EUR, using default values
2025-08-11 07:54:09 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-08-11 07:54:10 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 07:54:10 - price_service - WARNING - No price record found for 1 in EUR, using default values
2025-08-11 07:54:10 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-08-11 07:54:10 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 07:54:10 - price_service - WARNING - No price record found for 16 in EUR, using default values
2025-08-11 07:54:10 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-08-11 07:54:10 - price_service - WARNING - No price record found for 18 in USD, using default values
2025-08-11 07:54:10 - price_service - WARNING - No price record found for 18 in EUR, using default values
2025-08-11 07:54:10 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-08-11 08:01:37 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:01:37 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 08:01:37 - price_service - WARNING - No price record found for 1 in USD, using default values
