2025-08-11 07:34:48 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-11 07:34:48 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-11 07:34:48 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-11 07:35:14 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-11 07:35:14 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-11 07:35:14 - tatum_subscription - DEBUG - Logger initialized for tatum_subscription at level DEBUG
2025-08-11 07:36:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:36:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:36:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:36:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:36:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:36:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:36:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:36:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:36:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:36:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:36:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:36:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:36:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:36:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:36:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:36:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:36:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:36:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:36:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:36:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:36:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:36:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:36:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:36:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:36:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:36:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:36:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:36:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:36:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
2025-08-11 07:36:25 - tatum_subscription - WARNING - Blockchain DOT is not supported by Tatum API
