Name,Symbol,Platform,ContractAddress,
Tether USDt,USDT,Ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,
USDC,USDC,Ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,
Shiba Inu,SHIB,Ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,
Chainlink,LINK,Ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,
Uniswap,UNI,Ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,
Pepe,PEPE,Ethereum,0x6982508145454ce325ddbe47a25d4ec3d2311933,
UNUS SED LEO,LEO,Ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,
POL (ex-MATIC),POL,Ethereum,0x455e53cbb86018ac2b8092fdcd39d8444affc3f6,
Dai,DAI,Ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,
Render,RENDER,Ethereum,0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,
Ethena USDe,USDe,Ethereum,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,
Aave,AAVE,Ethereum,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,
Bitget Token,BGB,Ethereum,0x54D2252757e1672EEaD234D27B1270728fF90581,
Mantle,MNT,Ethereum,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,
MANTRA,OM,Ethereum,0x3593d125a4f7849a1b059e64f4517a86dd60c95d,
OKB,OKB,Ethereum,0x75231f58b43240c9718dd58b4967c5114342a86c,
Immutable,IMX,Ethereum,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,
Bonk,BONK,Ethereum,0x1151CB3d861920e07a38e03eEAd12C32178567F6,
Injective,INJ,Ethereum,0xe28b3b32b6c345a34ff64674606124dd5aceca30,
The Graph,GRT,Ethereum,0xc944e90c64b2c07662a292be6244bdf05cda44a7,
Ethena,ENA,Ethereum,0x57e114B691Db790C35207b2e685D4A43181e6061,
Worldcoin,WLD,Ethereum,0x163f8c2467924be0ae7b5347228cabf260318753,
FLOKI,FLOKI,Ethereum,0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,
JasmyCoin,JASMY,Ethereum,0x7420B4b9a0110cdC71fB720908340C03F9Bc03EC,
Ondo,ONDO,Ethereum,0xfAbA6f8e4a5E8Ab82F62fe7C39859FA577269BE3,
The Sandbox,SAND,Ethereum,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,
Gala,GALA,Ethereum,0xd1d2Eb1B1e90B638588728b4130137D262C87cae,
Lido DAO,LDO,Ethereum,0x5a98fcbea516cf06857215779fd812ca3bef1b32,
Maker,MKR,Ethereum,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,
Quant,QNT,Ethereum,0x4a220e6096b25eadb88358cb44068a3248254675,
First Digital USD,FDUSD,Ethereum,0xc5f0f7b66764F6ec8C8Dff7BA683102295E16409,
Starknet,STRK,Ethereum,0xCa14007Eff0dB1f8135f4C25B34De49AB0d42766,
Virtuals Protocol,VIRTUAL,Ethereum,0x44ff8620b8cA30902395A7bD3F2407e1A091BF73,
Beam,BEAM,Ethereum,0x62D0A8458eD7719FDAF978fe5929C6D342B0bFcE,
KuCoin Token,KCS,Ethereum,0xf34960d9d60be18cc1d5afc1a6f012a723a28811,
Curve DAO Token,CRV,Ethereum,0xD533a949740bb3306d119CC777fa900bA034cd52,
Mog Coin,MOG,Ethereum,0xaaeE1A9723aaDB7afA2810263653A34bA2C21C7a,
Decentraland,MANA,Ethereum,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,
Axie Infinity,AXS,Ethereum,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,
Ethereum Name Service,ENS,Ethereum,0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72,
ApeCoin,APE,Ethereum,0x4d224452801aced8b2f0aebe155379bb5d594381,
PancakeSwap,CAKE,Ethereum,0x152649eA73beAb28c5b49B26eb48f7EAD6d4c898,
Chiliz,CHZ,Ethereum,0x3506424f91fd33084466f402d5d97f05f8e3b4af,
GateToken,GT,Ethereum,0xe66747a101bff2dba3697199dcce5b743b454759,
Pendle,PENDLE,Ethereum,0x808507121b80c02388fad14726482e061b8da827,
Wormhole,W,Ethereum,0xB0fFa8000886e57F86dd5264b9582b2Ad87b2b91,
Synthetix,SNX,Ethereum,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,
Compound,COMP,Ethereum,0xc00e94cb662c3520282e6f5717214004a7f26888,
Nexo,NEXO,Ethereum,0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206,
Oasis,ROSE,Ethereum,0x26B80FBfC01b71495f477d5237071242e0d959d7,
Reserve Rights,RSR,Ethereum,0x320623b8e4ff03373931769a31fc52a4e78b5d70,
EigenLayer,EIGEN,Ethereum,0xec53bF9167f50cDEB3Ae105f56099aaaB9061F83,
Axelar,AXL,Ethereum,0x467719aD09025FcC6cF6F8311755809d45a5E5f3,
SuperVerse,SUPER,Ethereum,0xe53ec727dbdeb9e2d5456c3be40cff031ab40a55,
Blur,BLUR,Ethereum,0x5283d291dbcf85356a21ba090e6db59121208b44,
Amp,AMP,Ethereum,0xff20817765cb7f73d4bde2e66e067e58d11095c2,
Neiro (First Neiro On Ethereum),NEIRO,Ethereum,0x812ba41e071c7b7fa4ebcfb62df5f45f6fa853ee,
Livepeer,LPT,Ethereum,0x58b6a8a3302369daec383334672404ee733ab239,
Kava,KAVA,Ethereum,0x0C356B7fD36a5357E5A017EF11887ba100C9AB76,
Gnosis,GNO,Ethereum,0x6810e776880c02933d47db1b9fc05908e5386b96,
LayerZero,ZRO,Ethereum,0x6985884C4392D348587B19cb9eAAf157F13271cd,
1inch Network,1INCH,Ethereum,0x111111111117dc0aa78b770fa6a738034120c302,
USDD,USDD,Ethereum,0x0c10bf8fcb7bf5412187a595ab97a3609160b5c6,
Turbo,TURBO,Ethereum,0xa35923162c49cf95e6bf26623385eb431ad920d3,
Safe,SAFE,Ethereum,0x5afe3855358e112b5647b952709e6165e1c1eeee,
APENFT,NFT,Ethereum,0x198d14f2ad9ce69e76ea330b374de4957c3f850a,
Convex Finance,CVX,Ethereum,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,
Holo,HOT,Ethereum,0x6c6ee5e31d828de241282b9606c8e98ea48526e2,
WOO,WOO,Ethereum,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,
0x Protocol,ZRX,Ethereum,0xe41d2489571d322189246dafa5ebde1f4699f498,
Tether Gold,XAUt,Ethereum,0x68749665FF8D2d112Fa859AA293F07A622782F38,
DeXe,DEXE,Ethereum,0xde4EE8057785A7e8e800Db58F9784845A5C2Cbd6,
GMT,GMT,Ethereum,0xe3c408bd53c31c085a1746af401a4042954ff740,
ether.fi,ETHFI,Ethereum,0xFe0c30065B384F05761f15d0CC899D4F9F9Cc0eB,
Memecoin,MEME,Ethereum,0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74,
Echelon Prime,PRIME,Ethereum,0xb23d80f5fefcddaa212212f028021b41ded428cf,
Aevo,AEVO,Ethereum,0xB528edBef013aff855ac3c50b381f253aF13b997,
Arkham,ARKM,Ethereum,0x6e2a43be0b1d33b726f0ca3b8de60b3482b8b050,
Ankr,ANKR,Ethereum,0x8290333cef9e6d528dd5618fb97a76f268f3edd4,
ZetaChain,ZETA,Ethereum,0xf091867ec603a6628ed83d274e835539d82e9cc8,
dYdX (ethDYDX),ETHDYDX,Ethereum,0x92d6c1e31e14520e676a687f0a93788b716beff5,
PAX Gold,PAXG,Ethereum,0x45804880de22913dafe09f4980848ece6ecbaf78,
